id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/12/value,qualifier/16/value
2504320163,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-02-05T11:06:26.981Z,2023-02-05T11:40:57Z,4014357831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014357827,59,"27, 2, 6, 10, 15, 21, 17, 12, 23, 7, 11, 3, 5, 8, 9, 20, 22, 28, 29, 32",4014357837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014357829,130,8,4014357835,197,8474,4014357825,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4014357823,30,"eofeaerj2f8tm1xldw18e2o5x, 4ihrb3uj478vlzrbh94jj1i3t, 2s15k44faiinj3gz5tswtv4d1, 9ijnmgmapjcnctich86692tw5, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, 440p9vyf2bnhoivrea2biq9k9, 1haq2mkmbebj3jbt0z2jom4lx, 5qxvej7pcqqr989sba7k0jv85, 2a45d0hq84uxfi5t9c65dw7vt, d29d4xtq3ib0nim6keirgdx3p, 589yqifloa5j7qwp2gnemyml1, 3u2e56fhs12qok7truspt65zp, 5adluw93r1tx4n3ta3wyhj7bp, 9zdmc8v5sfrv9z7da49odn4a2, 1co13krvtz3b1p9m9038kpadx, c705ailfiov40xwoysz0ggct1, 1234a1tb7y6trj9xsoqvx0x5h, 7eq281s0sa083qvx8tfwp7pat, el8c138wsa0bnop68caop5uxh",4014357833,194,9ijnmgmapjcnctich86692tw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504320549,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-02-05T11:07:20.110Z,2023-02-05T12:05:18Z,4014359743,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4014359755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014359751,194,8e7wbpcbwxvdz0fojwuyov3rp,4014359749,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4014359753,197,726,4014359745,59,"18, 14, 6, 4, 5, 20, 11, 22, 15, 25, 28, 7, 8, 10, 17, 21, 27, 32",4014359741,30,"ds8eeciyv1vk6nwh26qgy1lg5, 8k21bzux0l41m2cdsuetbco9h, 8e7wbpcbwxvdz0fojwuyov3rp, 8j67kyyfq5i300eeqbihgcqfp, 3c80px00lrpe84s9yurszqcid, e6s5iphbrws04dxrvw0xqd7f9, bmw6mvkeropjorm2rxzw2fzai, e2lt71eeqb97hw6wnebjrrgt1, 69nz7p1izpw4i8tle2c8hls2y, 27iu58a0k5jqsxidnaxbothbd, bqbs20rirfi1eh7k7ss4pt0ix, ekmg1wlig0qdtzhafm3lwsz4l, 6flq1204p7494fm1ct06w6ket, 9x4qkir5sofsdi6jf3qdnvgx6, avttb0ne86ra4pqruk0d8al05, c4ptt043q3lm4npuwpyviprdh, bdiuv7a7j50drm3gsc9ne28dl, 3edsdt367brk6egxyzqb2z8yc",4014359747,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343847,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-02-05T12:02:10.079Z,2023-02-05T12:02:12Z,4014486885,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343843,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-02-05T12:02:10.079Z,2023-02-05T12:02:10Z,4014486879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343867,3,1,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,50.1,50,2023-02-05T12:02:10.179Z,2023-02-05T12:02:13Z,4014487025,140,35.9,4014487029,212,14.9,4014487027,141,51.5,4014487031,213,3.1,4014487033,279,S,4014487023,56,Back,,,,,,,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343903,4,1,1,0,3,7kt37xy93vjy6wac8vq6fqz3g,1,35.9,51.5,2023-02-05T12:02:13.714Z,2023-02-05T12:02:17Z,4014487215,140,31.4,4014487219,212,11.9,4014487217,141,67.6,4014487213,56,Back,4014487221,213,2.0,,,,,,,,,,bqbs20rirfi1eh7k7ss4pt0ix,K. Holmgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343917,5,1,1,0,7,7kt37xy93vjy6wac8vq6fqz3g,1,31.2,64.3,2023-02-05T12:02:17.354Z,2023-02-05T12:02:20Z,4014487293,212,23.7,4014487287,56,Center,4014487289,140,53.7,4014487295,213,0.1,4014487291,141,67.3,,,,,,,,,,8e7wbpcbwxvdz0fojwuyov3rp,G. George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343921,6,1,1,0,10,7kt37xy93vjy6wac8vq6fqz3g,0,47.9,64.9,2023-02-05T12:02:20.098Z,2023-02-05T12:02:21Z,4014487329,213,5.9,4014487325,212,8.9,4014487321,140,55.7,4014487323,141,59.9,4014487319,56,Center,,,,,,,,,,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343951,3,49,1,0,14,axwnneoekq2f2yq6r1l704y96,1,28.8,73.8,2023-02-05T12:02:24.988Z,2023-02-05T12:02:25Z,,,,,,,,,,,,,,,,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343979,4,1,1,0,16,axwnneoekq2f2yq6r1l704y96,1,28.8,73.8,2023-02-05T12:02:26.724Z,2023-02-05T12:02:28Z,4014487625,213,6.2,4014487621,141,71.2,4014487623,212,17.2,4014487617,56,Back,4014487619,140,45.1,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
