id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId
2473150603,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-10-16T17:14:32.067Z,2022-10-16T17:51:15Z,3850205333,197,17070,3850205323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3850205329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850205335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850205331,194,5m2ilglr6tlmgs2d4qzk5wno5,3850205321,30,"dib5a7vebmtxqcksi1tuteklx, 8lfnj5bvo97dimx52no42nmqd, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, bd1752qgxbodnsgdus42fc99l, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, ec1vrqeqni3lmibeazgq62eol, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, d9zt8e8lnk9a22we6o6wqyndh, 1dbhha29epjmo8g4xfm5taaj9, 1o0o6thivoulnmsklkpbwpiad, 8jooatan3cxd38v2jyf23pot1, 3i4ljm3hqc6wg8s6l4onlagut, 8wvdn1f18jaxmjg4zkizons6i, e6pdkq17etv9k527m94sqqu39, 4payujvwgv750r4y1eeprn1g4, 70axdagp6dkm3fvv79ofsxfro",3850205325,59,"1, 26, 15, 13, 3, 7, 10, 11, 25, 9, 19, 5, 8, 12, 16, 17, 18, 23, 59, 62",3850205327,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473155651,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2022-10-16T17:21:01.089Z,2022-10-16T18:51:19Z,3850231939,194,16gnoas9x34hm887omkmeee39,3850231929,30,"3q2zbn0eco577z0ss84g9f2s5, 9aqn77y0knb58698qj46eee39, 16gnoas9x34hm887omkmeee39, ce4cgftejsd46a0rahih0divp, 4lshrw6i3uk9kx4kiutn06iuh, 9parlijxpxnfis96jwy9p37bp, blbeuhuw60c2dkx2ofl0xp82c, 1o571356wx95l3qbpbe00o991, 1bpq54voea3pt7n7ppzoyvvth, cannlc91eqjjy24i7keyvyaui, 2jwojltrp06sa8qloordtohrd, 6sq9uor68fca8nz7tes0vfdgp, 3rh7yurfuhun7zvoymgjb7g7p, dly0s8kcg05jee3nkwnkd228l, b0fb391qk3blyandllrxt6fh1, dltovemexu20xdg1ff55b1ed, 2eoggfnen5l1u32thxevo3sb8, f1yjzr06tqags78sdu9zl4bv8",3850231935,130,4,3850231931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3850231933,59,"25, 9, 3, 23, 14, 5, 37, 27, 10, 12, 28, 2, 7, 11, 17, 18, 30, 33",3850231941,197,5141,3850231937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3850231943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172509,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-10-16T17:46:05.209Z,2022-10-16T17:46:05Z,3850324137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172519,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2022-10-16T17:46:05.209Z,2022-10-16T17:46:07Z,3850324197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172545,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,49.8,50,2022-10-16T17:46:05.309Z,2022-10-16T17:46:07Z,3850324387,140,38.0,3850324391,141,47.2,3850324395,213,3.3,3850324393,212,12.5,3850324397,279,S,3850324381,56,Back,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172601,4,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,35.3,43.6,2022-10-16T17:46:07.773Z,2022-10-16T17:46:10Z,3850324613,213,4.8,3850324605,56,Back,3850324611,212,13.8,3850324609,141,23.4,3850324607,140,36.3,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172609,5,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,39.1,14.6,2022-10-16T17:46:10.581Z,2022-10-16T17:46:11Z,3850324647,140,39.1,3850324651,212,8.3,3850324653,213,1.6,3850324649,141,26.8,3850324645,56,Back,,,,,,,,,,8lfnj5bvo97dimx52no42nmqd,L. Wienroither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172693,6,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,38.9,25.9,2022-10-16T17:46:11.518Z,2022-10-16T17:46:16Z,3850325037,213,4.5,3850325033,141,12.8,3850325031,140,36.7,3850325035,212,9.2,3850325029,56,Back,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172709,7,1,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,36.2,10.1,2022-10-16T17:46:16.325Z,2022-10-16T17:46:17Z,3850325107,141,14.0,3850325111,213,2.9,3850325109,212,13.8,3850325105,140,23.3,3850325103,56,Back,,,,,,,,,,8lfnj5bvo97dimx52no42nmqd,L. Wienroither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172763,8,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,22.7,14,2022-10-16T17:46:17.733Z,2022-10-16T17:46:21Z,3850325417,213,2.2,3850325405,56,Back,3850325415,212,21.8,3850325409,140,10.7,3850325411,141,40.1,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172855,9,1,1,0,16,5rurqie3qt1qav9ir5mkqinn,1,10.4,46.3,2022-10-16T17:46:21.349Z,2022-10-16T17:46:27Z,3850325977,213,1.3,3850325973,141,76.1,3850325969,56,Back,3850325971,140,16.3,3850325975,212,21.2,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172935,10,1,1,0,22,5rurqie3qt1qav9ir5mkqinn,1,20.1,83.9,2022-10-16T17:46:27.821Z,2022-10-16T18:38:04Z,3850326389,141,64.0,3850326385,56,Center,3850326383,155,,3850341415,210,15,3850341417,154,,3850326393,213,6.0,3850326387,140,59.1,3850326395,1,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,1,3850326391,212,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172939,11,15,1,0,29,5rurqie3qt1qav9ir5mkqinn,1,89.2,56.1,2022-10-16T17:46:34.414Z,2022-10-16T18:38:04Z,3850341433,78,,3850326417,56,Center,3850341447,214,,3850341453,147,49.8,3850341437,154,,3850326413,22,,3850487935,233,278,3850341443,102,48.5,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,,3850341435,29,,3850336907,20,3850341449,215,3850341439,55,10,3850341445,103,5.7,3850326415,17,3850341451,146,98.6,,,,,,,,,,,,
2473203579,278,10,1,0,29,bsbugp9qfasrrtg55bf7evvwv,1,5.5,47.4,2022-10-16T17:46:34.514Z,2022-10-16T18:38:52Z,3850487889,178,,3850487939,233,11,3850487893,56,Back,3850487891,182,,3850487887,173,,,,,,,,,,,3q2zbn0eco577z0ss84g9f2s5,J. Burns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473172953,3,1,1,0,30,bsbugp9qfasrrtg55bf7evvwv,0,7.9,52.5,2022-10-16T17:46:35.975Z,2022-10-16T18:37:54Z,3850326487,213,2.1,3850326483,141,58.4,3850326479,56,Back,3850326477,157,,3850326489,1,,3850326485,212,4.6,3850326481,140,5.8,,,,9parlijxpxnfis96jwy9p37bp,G. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473173091,12,43,1,0,33,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-10-16T17:46:38.854Z,2022-10-16T17:52:13Z,3850327191,141,30.4,3850327187,140,89.0,3850327201,213,1.9,3850327197,212,9.9,3850351111,144,1,3850327183,56,Center,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473173077,4,49,1,0,38,bsbugp9qfasrrtg55bf7evvwv,1,5.8,60.6,2022-10-16T17:46:43.382Z,2022-10-16T17:46:43Z,,,,,,,,,,,,,,,,,,,,,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473173101,13,1,1,0,38,5rurqie3qt1qav9ir5mkqinn,0,92,31.6,2022-10-16T17:46:43.517Z,2022-10-16T17:52:44Z,3850350899,140,93.2,3850350901,141,41.5,3850350905,213,1.4,3850327249,56,Center,3850350903,212,6.8,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473173153,5,1,1,0,38,bsbugp9qfasrrtg55bf7evvwv,0,5.8,61.7,2022-10-16T17:46:43.751Z,2022-10-16T17:46:48Z,3850327617,140,54.2,3850327633,1,,3850327613,56,Left,3850327629,213,0.5,3850327619,141,100.0,3850327611,157,,3850327625,212,57.5,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473173159,6,5,1,0,43,bsbugp9qfasrrtg55bf7evvwv,0,60.2,101.6,2022-10-16T17:46:48.209Z,2022-10-16T18:39:08Z,3850489579,233,452,3850327649,56,Left,3850327651,347,,,,,,,,,,,,,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473203871,452,5,1,0,43,5rurqie3qt1qav9ir5mkqinn,1,39.8,-1.6,2022-10-16T17:46:48.209Z,2022-10-16T18:38:35Z,3850489569,233,6,3850489557,347,,3850489555,56,Back,,,,,,,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473173567,7,43,1,1,10,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2022-10-16T17:47:16.031Z,2022-10-16T17:47:33Z,3850331311,144,1,3850329967,141,94.2,3850329963,56,Left,3850329969,212,10.0,3850329965,140,52.9,3850329971,213,5.8,,,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473173555,14,43,1,1,11,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-10-16T17:47:16.461Z,2022-10-16T18:38:53Z,3850490411,144,49,,,,,,,,,,,,,,,,,,,,,,8lfnj5bvo97dimx52no42nmqd,L. Wienroither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473173607,15,1,1,1,11,5rurqie3qt1qav9ir5mkqinn,1,27.5,0,2022-10-16T17:47:16.974Z,2022-10-16T18:39:00Z,3850330179,141,8.3,3850330175,56,Back,3850330183,213,2.0,3850330181,212,7.1,3850490567,107,,3850330177,140,24.6,,,,,,,8lfnj5bvo97dimx52no42nmqd,L. Wienroither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
