id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2537919729,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-04-23T12:03:56.572Z,2023-04-23T13:34:22Z,4213069791,197,8381,4213069781,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4213069789,194,6f8lpm5ckuv4z0tbur533qpxx,4213069793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213069785,130,4,4213069779,30,"6bejfvxorcqyawi2fmk2kbco9, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, cs8bo5xvtd2bq7kd91flepwwl, 9cjjs4piq3t12iltsfon52h91, 6f8lpm5ckuv4z0tbur533qpxx, dzfr9ktjmxqj2eh2xibt7konp, 1dbhha29epjmo8g4xfm5taaj9, amg2zai9038cdz9uuql3l9rkl, 3f6hkia6zu8xuwasqdz3w759m, cpvbitkove7bavl96lkgs1vc9, amnb211255557h5z7snm33h79, f5j2zq9sslh38t8bhyifsjg89, dle50mcyb7xfk7eop3d0qs2c5, 76tytt386zxh1tuqk6kko1gbt, 5677k11mj3dmsnqse80eumk0l, 72urf7pms7afj0t3u8ipk08ut",4213069787,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4213069783,59,"1, 2, 33, 12, 15, 14, 10, 88, 8, 19, 20, 4, 7, 11, 21, 22, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537929467,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2023-04-23T12:11:49.484Z,2023-04-23T13:12:07Z,4213119727,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4213119731,130,2,4213119739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213119725,30,"4vgx21i9mmnoud5h6px197f11, ceww6vauxaqddgogso515rcru, 2zdgbwd6y5u4pd08upf1sda6t, z8vdz64bgqus4c85451nsrf9, eoc724h5j6mnvvu1nbumezmxh, elelvar8kyxwpfqzwr1v00b85, 8gh56ar8x8yxjfcm66m7532ll, drwlmmiguqz2mfzsh6gjmklx, 6aaes6ikbmrg75h6asm58wpg5, ctzcuzproy4kwpa5wweruw3px, tzc4bqcf2wkz1k7d96l8g3my, 7f3opq72gey1boxe6vcgmfvth, 30pcgn07mnn0sk4jp0t7bx9ed, a1v4wcs80zp79nq6u2efnzgfd, 7kx86ostcp0tfo53g9cpqn7px, xfhvn9tfu8wwd1whgo1jgand, beeqbcwweng7zflrap12ph7qi, enqn8azrcz6vks9d21ze9w2c5",4213119733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4213119729,59,"22, 13, 6, 15, 4, 5, 14, 24, 25, 19, 29, 1, 3, 7, 8, 9, 16, 23",4213119737,197,6732,4213119735,194,tzc4bqcf2wkz1k7d96l8g3my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537976973,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-04-23T12:59:54.136Z,2023-04-23T12:59:56Z,4213366205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537976967,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2023-04-23T12:59:54.136Z,2023-04-25T16:00:14Z,4213366183,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977013,3,1,1,0,0,9ijyncrxsejz505dbadwr1dir,1,50.1,50.1,2023-04-23T12:59:54.236Z,2023-04-23T12:59:58Z,4213366455,140,39.8,4213366457,141,50.7,4213366459,212,10.8,4213366463,279,S,4213366461,213,3.1,4213366453,56,Back,,,,,,,ctzcuzproy4kwpa5wweruw3px,B. England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977041,4,1,1,0,4,9ijyncrxsejz505dbadwr1dir,1,49.3,44.6,2023-04-23T12:59:58.723Z,2023-04-23T13:00:09Z,4213366645,155,,4213366661,213,0.7,4213366655,141,71.2,4213366647,56,Center,4213366651,140,68.1,4213366659,212,26.8,,,,,,,drwlmmiguqz2mfzsh6gjmklx,D. Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977099,5,1,1,0,7,9ijyncrxsejz505dbadwr1dir,0,68.1,71.2,2023-04-23T13:00:02.076Z,2023-04-23T13:00:07Z,4213366945,141,64.2,4213366947,212,9.1,4213366939,3,,4213366943,140,75.5,4213366949,213,5.7,4213366941,56,Center,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977055,3,44,1,0,8,8l30dsub3sutr6j3ruvk650xc,1,24.6,35.6,2023-04-23T13:00:02.975Z,2023-04-23T13:00:06Z,4213366717,56,Back,4213366719,285,,4213367011,233,6,,,,,,,,,,,,,,,,6f8lpm5ckuv4z0tbur533qpxx,D. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977107,6,44,1,0,8,9ijyncrxsejz505dbadwr1dir,0,75.4,64.4,2023-04-23T13:00:02.976Z,2023-04-23T13:00:07Z,4213366981,286,,4213367037,233,3,4213366979,56,Center,,,,,,,,,,,,,,,,6aaes6ikbmrg75h6asm58wpg5,E. Summanen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977083,4,1,1,0,9,8l30dsub3sutr6j3ruvk650xc,1,24.7,35.5,2023-04-23T13:00:03.407Z,2023-04-23T13:00:04Z,4213366867,213,0.4,4213366859,56,Back,4213366863,141,40.1,4213366865,212,8.0,4213366861,140,31.7,4213366857,3,,,,,,,,6f8lpm5ckuv4z0tbur533qpxx,D. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977089,5,49,1,0,10,8l30dsub3sutr6j3ruvk650xc,1,30.6,42.5,2023-04-23T13:00:04.744Z,2023-04-23T13:00:05Z,,,,,,,,,,,,,,,,,,,,,,,,,cs8bo5xvtd2bq7kd91flepwwl,L. Staniforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977165,6,1,1,0,12,8l30dsub3sutr6j3ruvk650xc,1,30.6,52.5,2023-04-23T13:00:06.872Z,2023-04-23T13:00:09Z,4213367231,140,25.1,4213367237,213,1.8,4213367229,56,Back,4213367233,141,87.4,4213367235,212,24.4,,,,,,,,,,cs8bo5xvtd2bq7kd91flepwwl,L. Staniforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977219,7,1,1,0,15,8l30dsub3sutr6j3ruvk650xc,1,25,88.1,2023-04-23T13:00:09.512Z,2023-04-23T13:00:12Z,4213367549,141,69.7,4213367547,140,40.2,4213367545,56,Back,4213367553,213,5.6,4213367551,212,20.3,,,,,,,,,,b3i5okqaspq6w7w456ab4cxjp,M. Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977277,8,1,1,0,18,8l30dsub3sutr6j3ruvk650xc,1,41.4,66.1,2023-04-23T13:00:12.623Z,2023-04-23T13:00:16Z,4213367871,56,Back,4213367881,213,4.2,4213367875,141,27.1,4213367873,140,26.6,4213367877,212,30.7,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977319,9,1,1,0,22,8l30dsub3sutr6j3ruvk650xc,1,25.6,27.1,2023-04-23T13:00:16.184Z,2023-04-23T13:00:19Z,4213368129,141,8.8,4213368127,140,50.8,4213368133,213,5.8,4213368131,212,29.2,4213368125,56,Right,,,,,,,,,,6f8lpm5ckuv4z0tbur533qpxx,D. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977327,10,1,1,0,25,8l30dsub3sutr6j3ruvk650xc,0,52,8.5,2023-04-23T13:00:19.328Z,2023-04-23T13:00:19Z,4213368165,141,28.5,4213368161,56,Center,4213368169,213,1.2,4213368167,212,14.4,4213368163,140,56.5,,,,,,,,,,3f6hkia6zu8xuwasqdz3w759m,L. Blindkilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977333,7,49,1,0,25,9ijyncrxsejz505dbadwr1dir,1,36.7,65.4,2023-04-23T13:00:20.099Z,2023-04-23T13:00:20Z,,,,,,,,,,,,,,,,,,,,,,,,,eoc724h5j6mnvvu1nbumezmxh,A. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977365,8,1,1,0,26,9ijyncrxsejz505dbadwr1dir,0,36.7,65.4,2023-04-23T13:00:20.244Z,2023-04-23T13:00:21Z,4213368395,213,1.9,4213368389,140,29.3,4213368387,56,Back,4213368391,141,100.0,4213368393,212,25.9,,,,,,,,,,eoc724h5j6mnvvu1nbumezmxh,A. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977375,9,5,1,0,26,9ijyncrxsejz505dbadwr1dir,0,30.6,101.2,2023-04-23T13:00:20.969Z,2023-04-23T13:39:04Z,4213368431,347,,4213368429,56,Back,4213369733,233,11,,,,,,,,,,,,,,,,eoc724h5j6mnvvu1nbumezmxh,A. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977607,11,5,1,0,26,8l30dsub3sutr6j3ruvk650xc,1,69.4,-1.2,2023-04-23T13:00:20.969Z,2023-04-23T13:00:37Z,4213369719,233,9,4213369701,347,,4213369699,56,Right,,,,,,,,,,,,,,,,3f6hkia6zu8xuwasqdz3w759m,L. Blindkilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977653,12,1,1,0,42,8l30dsub3sutr6j3ruvk650xc,1,68.9,0,2023-04-23T13:00:36.887Z,2023-04-23T13:00:39Z,4213369925,212,14.9,4213369917,107,,4213369927,213,1.5,4213369923,141,20.7,4213369919,56,Right,4213369921,140,70.5,,,,,,,3tz0jq7tbg6u1dm6qlx53u6s5,S. Mayling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977667,13,1,1,0,45,8l30dsub3sutr6j3ruvk650xc,1,69.8,21.8,2023-04-23T13:00:39.152Z,2023-04-23T13:00:47Z,4213369987,56,Right,4213369989,140,73.1,4213369995,213,5.0,4213369993,212,10.8,4213369991,141,6.8,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977683,14,1,1,0,46,8l30dsub3sutr6j3ruvk650xc,0,72.6,7.1,2023-04-23T13:00:40.648Z,2023-04-23T13:00:41Z,4213370079,141,12.9,4213370077,140,73.0,4213370075,56,Right,4213370083,213,1.5,4213370081,212,4.0,,,,,,,,,,3tz0jq7tbg6u1dm6qlx53u6s5,S. Mayling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977725,10,49,1,0,49,9ijyncrxsejz505dbadwr1dir,1,29.7,93,2023-04-23T13:00:43.852Z,2023-04-23T13:00:43Z,,,,,,,,,,,,,,,,,,,,,,,,,2zdgbwd6y5u4pd08upf1sda6t,K. Harrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977769,11,1,1,0,49,9ijyncrxsejz505dbadwr1dir,1,29.7,93,2023-04-23T13:00:43.964Z,2023-04-23T13:00:46Z,4213370501,56,Back,4213370507,212,9.4,4213370509,213,0.2,4213370503,140,38.4,4213370505,141,96.3,,,,,,,,,,2zdgbwd6y5u4pd08upf1sda6t,K. Harrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977803,12,1,1,0,52,9ijyncrxsejz505dbadwr1dir,1,39.7,96.2,2023-04-23T13:00:46.444Z,2023-04-23T13:00:48Z,4213370697,141,82.1,4213370693,56,Back,4213370695,140,36.1,4213370699,212,10.3,4213370701,213,4.3,,,,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977833,13,1,1,0,53,9ijyncrxsejz505dbadwr1dir,1,36.1,82.1,2023-04-23T13:00:48.116Z,2023-04-23T13:00:49Z,4213370833,213,2.7,4213370827,140,21.1,4213370829,141,93.3,4213370831,212,17.5,4213370825,56,Back,,,,,,,,,,drwlmmiguqz2mfzsh6gjmklx,D. Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977875,14,1,1,0,55,9ijyncrxsejz505dbadwr1dir,0,21.1,93.3,2023-04-23T13:00:49.852Z,2023-04-23T13:01:05Z,4213371099,141,87.8,4213371101,212,30.3,4213371097,140,49.7,4213371093,155,,4213371103,213,6.2,4213371095,56,Back,,,,,,,2zdgbwd6y5u4pd08upf1sda6t,K. Harrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978333,15,5,1,0,58,8l30dsub3sutr6j3ruvk650xc,0,47.2,-1.4,2023-04-23T13:00:52.352Z,2023-04-23T13:01:37Z,4213373359,56,Back,4213375803,233,16,4213373361,347,,,,,,,,,,,,,,,,,3tz0jq7tbg6u1dm6qlx53u6s5,S. Mayling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537978105,16,5,1,0,58,9ijyncrxsejz505dbadwr1dir,1,52.8,101.4,2023-04-23T13:00:52.352Z,2023-04-23T13:39:04Z,4213372317,56,Left,4213372321,347,,4213375775,233,15,,,,,,,,,,,,,,,,drwlmmiguqz2mfzsh6gjmklx,D. Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
