id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2486926049,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2022-11-20T14:06:08.449Z,2022-11-20T15:03:32Z,3922639533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3922639537,197,5223,3922639527,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3922639529,59,"1, 3, 2, 4, 22, 12, 10, 19, 26, 7, 9, 11, 17, 20, 28, 33, 41",3922639531,130,4,3922639525,30,"68a0jc6cin6hxx0bkdch9hc5x, 7mdnewy67dddv3ahqw1qhbx05, dfodeak21qhzgxr7qs85f3vf9, emo8wffj0agou65ijs2seiaqd, 230r9tcwg89z5b9kxdqwi336d, cvuaoz9c41od4r0j3sajszsut, 9ov9x5gap2t34kv8clhwjqvh1, 3fta0gg3ghja3x9ouubjjfzl5, e93vn46w6kk9xwdb8forgzil1, 19npqca9guxs7p2yl5sbjmbx1, enjtkmi8hjldw767n70b6mxg5, 50ef8q2ctd099il4iq14i0cfd, 3539ai0d63d8hiq0e1nrptb3e, 6ycwadiitmeemrk9qh5984iga, 661dbl84kjewuzg0zkd62t0mi, cqfxdqu4j8ws6ejoklc7ahz6y, 2zd7q1vj110evlsdjybgeltec",3922639535,194,9ov9x5gap2t34kv8clhwjqvh1,3922639539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486928451,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-11-20T14:10:51.262Z,2022-11-20T15:11:36Z,3922652311,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3922652319,194,7m31qpkmuh3amb6navttdlvpx,3922652315,130,7,3922652309,30,"7n8jink50lk1tivoqpe57h32t, 4lfk4hy1a6ig3izoq3mgl9zhl, 3upyu7hn2q7voapvgtlnl1yad, 8evgc5zhtfnqatt15vr3ttwwl, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, 6k1s7y9dnzdpppppdco7bgudx, 7m31qpkmuh3amb6navttdlvpx, 6zu0f63ej8pixk97nfzrexiad, 3km1u2mw1tkioh2mucow7d1pl, c7giuh90mnvajsobobcbx4ley, 9mjnqdz7dqs3ymr7bvec7lbkl, 9bluldps4u93urd4x9p0xk4id, 2hoa4v8810rmsbi85pfanyfl6, 8xlmd18k335ypz59olrdjhcve, 1ct6g590mpcg14jw94v4g2tm2, 19qjvbtfwo55xwsqu5dmwh9ii, 8ctokja53x311jvllpdh6v4yd, 32qdycwtlahk754bdqjsowduc, 7l34xmrhlyosdxfc7j3rru609",3922652317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922652313,59,"1, 13, 23, 5, 15, 22, 4, 10, 7, 3, 16, 2, 6, 8, 12, 20, 27, 28, 32, 44",3922652321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922763661,197,12900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486949985,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2022-11-20T15:02:45.385Z,2022-11-20T15:02:47Z,3922769019,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486949979,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-11-20T15:02:45.385Z,2022-11-20T15:02:45Z,3922768985,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950009,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,50.1,50.1,2022-11-20T15:02:45.485Z,2022-11-20T15:02:49Z,3922769129,56,Back,3922769131,140,26.8,3922769139,279,S,3922769135,212,26.2,3922769137,213,2.8,3922769133,141,63.7,,,,,,,6zu0f63ej8pixk97nfzrexiad,N. Flint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950023,4,1,1,0,4,28u3q82ip96ahymkup01vfxli,1,28.3,62.9,2022-11-20T15:02:49.647Z,2022-11-20T15:02:52Z,3922769223,1,,3922769213,56,Right,3922769217,141,18.6,3922769221,213,5.6,3922769211,157,,3922769219,212,49.6,3922769215,140,65.8,,,,8evgc5zhtfnqatt15vr3ttwwl,A. McManus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950025,5,44,1,0,5,28u3q82ip96ahymkup01vfxli,1,69.6,19.6,2022-11-20T15:02:51.142Z,2022-11-20T15:02:52Z,3922769243,233,3,3922769233,286,,3922769231,56,Right,,,,,,,,,,,,,,,,6k1s7y9dnzdpppppdco7bgudx,C. Bott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950019,3,44,1,0,5,cz26xwowfjp8ei14n9z2ac135,0,30.4,80.4,2022-11-20T15:02:51.143Z,2022-11-20T15:02:53Z,3922769197,285,,3922769247,233,5,3922769195,56,Back,,,,,,,,,,,,,,,,dfodeak21qhzgxr7qs85f3vf9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950027,6,1,1,0,6,28u3q82ip96ahymkup01vfxli,0,65.8,18.6,2022-11-20T15:02:51.542Z,2022-11-20T15:08:08Z,3922769259,212,16.1,3922769255,140,80.0,3922769257,141,27.4,3922769253,56,Center,3922769261,213,0.4,3922769251,3,,,,,,,,6k1s7y9dnzdpppppdco7bgudx,C. Bott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950033,4,49,1,0,8,cz26xwowfjp8ei14n9z2ac135,1,20.4,70.8,2022-11-20T15:02:54.277Z,2022-11-20T15:02:54Z,,,,,,,,,,,,,,,,,,,,,,,,,cvuaoz9c41od4r0j3sajszsut,K. Longhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
